Start (of zoals de Russen zeggen 'начало'): 2013-11-20 21:29:17.597102
Loaded 161 entries
End: 2013-11-20 21:29:26.056390
Run: 0:00:08.459288
         6306369 function calls (6305292 primitive calls) in 8.500 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:577(pull_dependencies)
      221    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:210(get)
      322    0.001    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/re.py:304(_subx)
       48    0.001    0.000    0.001    0.000 {method 'strftime' of 'datetime.date' objects}
     1227    0.001    0.000    0.001    0.000 {built-in method getattr}
     1725    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:506(_compile)
        1    0.001    0.001    0.001    0.001 {built-in method compile}
        1    0.000    0.000    0.001    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:908(from_code)
       12    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:544(parse_primary)
       61    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/markupsafe/_native.py:15(escape)
        3    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:192(inspect)
        1    0.000    0.000    0.001    0.001 <template>:1(<module>)
      138    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/codecs.py:697(write)
        5    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:1212(visit_Output)
      223    0.001    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/visitor.py:26(get_visitor)
        2    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:604(<lambda>)
      161    0.001    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/src/gen.py:145(__init__)
   100/32    0.001    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:142(getwidth)
      138    0.000    0.000    0.001    0.000 /usr/lib/python3.3/json/encoder.py:397(_iterencode)
      9/6    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/optimizer.py:54(fold)
      323    0.001    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:132(__getitem__)
       39    0.001    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:127(__init__)
      138    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/codecs.py:351(write)
        1    0.000    0.000    0.001    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:177(find)
        1    0.000    0.000    0.001    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:219(set_environment)
  274/138    0.001    0.000    0.001    0.000 /usr/lib/python3.3/json/encoder.py:268(_iterencode_list)
       41    0.000    0.000    0.001    0.000 {method 'extend' of 'collections.deque' objects}
       78    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/re.py:310(filter)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:934(get_code)
        3    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:714(parse_subscribed)
      322    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/re.py:287(_compile_repl)
       10    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:673(parse_filter_expr)
      161    0.001    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/src/gen.py:68(<listcomp>)
        4    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:792(parse_filter)
       78    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:847(expand_template)
      164    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:204(match)
       25    0.000    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_compile.py:179(_compile_charset)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:305(_call_with_frames_removed)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1470(_find_module)
        1    0.000    0.000    0.001    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/abc.py:175(__instancecheck__)
        5    0.001    0.000    0.001    0.000 {built-in method open}
      7/1    0.000    0.000    0.001    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/abc.py:191(__subclasscheck__)
       92    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:240(test)
       73    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:285(_escape)
       29    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:507(writeline)
       66    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:230(__new__)
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/codecs.py:849(open)
        6    0.000    0.000    0.000    0.000 {built-in method __build_class__}
       14    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/filters.py:80(do_urlencode)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1304(find_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1277(_get_loader)
       44    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:338(skip_if)
     11/4    0.000    0.000    0.000    0.000 {built-in method issubclass}
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/encodings/unicode_escape.py:8(<module>)
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:356(parse_assign_target)
        4    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:237(visit_Filter)
       75    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:492(write)
